titulo,all_info,características,precio,usos
Alojamiento entero: piso. Anfitrión: Javier,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"Alojamiento entero
(apartamento): será solo para ti.
Limpieza avanzada
Este anfitrión se ha comprometido a seguir el proceso de limpieza avanzada en 5 pasos de Airbnb. Mostrar más
Wifi
Los huéspedes suelen buscar este servicio tan popular
Cancelación gratuita durante 48 horas","55€
 / noche
55€ por noche
4,90
(415 evaluaciones)","¿Qué hay en este alojamiento?
Cocina
Wifi
TV
Ascensor
Aire acondicionado
Patio o balcón
Secador de pelo
Cámaras de seguridad en la propiedad
No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
No disponible: Detector de humo
Detector de humo
Mostrar los 22 servicios"
Alojamiento entero: piso. Anfitrión: Melissa,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"Alojamiento entero
(apartamento): será solo para ti.
Limpieza avanzada
Este anfitrión se ha comprometido a seguir el proceso de limpieza avanzada en 5 pasos de Airbnb. Mostrar más
Wifi
Los huéspedes suelen buscar este servicio tan popular
Cancelación gratuita antes del 18 ago.","60€
 / noche
60€ por noche
4,80
(5 evaluaciones)","2 noches en Madrid
19 de ago. de 2022 - 21 de ago. de 2022"
Alojamiento entero: piso. Anfitrión: Javier,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"Alojamiento entero
(apartamento): será solo para ti.
Limpieza avanzada
Este anfitrión se ha comprometido a seguir el proceso de limpieza avanzada en 5 pasos de Airbnb. Mostrar más
Ubicación fantástica
El 95 % de los últimos huéspedes han valorado con 5 estrellas la ubicación.
Cancelación gratuita durante 48 horas","55€
 / noche
55€ por noche
4,93
(46 evaluaciones)","¿Qué hay en este alojamiento?
Cocina
Wifi
TV
Ascensor
Aire acondicionado
Patio o balcón
Secador de pelo
Cámaras de seguridad en la propiedad
No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
No disponible: Detector de humo
Detector de humo
Mostrar los 23 servicios"
Alojamiento entero: piso. Anfitrión: Julio Víctor,5 huéspedes · 2 dormitorios · 3 camas · 1 baño,"Alojamiento entero
(apartamento): será solo para ti.
Limpieza avanzada
Este anfitrión se ha comprometido a seguir el proceso de limpieza avanzada en 5 pasos de Airbnb. Mostrar más
Ubicación fantástica
El 95 % de los últimos huéspedes han valorado con 5 estrellas la ubicación.
Cancelación gratuita antes del 27 mar.","85€
 / noche
85€ por noche
4,95
(459 evaluaciones)","¿Qué hay en este alojamiento?
Cocina
Wifi
Admite mascotas
TV
Ascensor
Lavadora
Aire acondicionado
Bañera
Patio o balcón
Se permite dejar el equipaje
Mostrar los 58 servicios"
Alojamiento entero: piso. Anfitrión: Airbnblegislium,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"Alojamiento entero
(apartamento): será solo para ti.
Limpieza avanzada
Este anfitrión se ha comprometido a seguir el proceso de limpieza avanzada en 5 pasos de Airbnb. Mostrar más
Ubicación fantástica
El 100 % de los últimos huéspedes han valorado con 5 estrellas la ubicación.
Cancelación gratuita durante 48 horas","60€
 / noche
60€ por noche
3,33
(3 evaluaciones)","¿Qué hay en este alojamiento?
Cocina
Wifi
TV
Patio o balcón
Frigorífico
Disponible para estancias largas
No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
No disponible: Detector de humo
Detector de humo
Mostrar los 10 servicios"
Alojamiento entero: piso. Anfitrión: Javi,5 huéspedes · 2 dormitorios · 3 camas · 1 baño,"Alojamiento entero
(apartamento): será solo para ti.
Limpieza avanzada
Este anfitrión se ha comprometido a seguir el proceso de limpieza avanzada en 5 pasos de Airbnb. Mostrar más
Wifi
Los huéspedes suelen buscar este servicio tan popular
Cancelación gratuita antes del 29 may.","55€
 / noche
55€ por noche
4,44
(167 evaluaciones)","¿Qué hay en este alojamiento?
Cocina
Wifi
TV
Ascensor
Lavadora
Secador de pelo
Frigorífico
Microondas
No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
No disponible: Detector de humo
Detector de humo
Mostrar los 18 servicios"
Alojamiento entero: piso. Anfitrión: Yamilet,"2 huéspedes · 1 dormitorio · 1 cama · 1,5 baños","Alojamiento entero
(apartamento): será solo para ti.
Limpieza avanzada
Este anfitrión se ha comprometido a seguir el proceso de limpieza avanzada en 5 pasos de Airbnb. Mostrar más
Llegada autónoma
Accede al alojamiento con ayuda del portero.
Cancelación gratuita antes del 24 nov.","54€
 / noche
54€ por noche
4,56
(41 evaluaciones)","¿Qué hay en este alojamiento?
Vistas al parque
Cocina
Wifi
Televisión de 42"" con Netflix
Ascensor
Lavadora en el alojamiento (Gratis)
Aire acondicionado centralizado
Bañera
No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
No disponible: Detector de humo
Detector de humo
Mostrar los 41 servicios"
Alojamiento entero: piso. Anfitrión: Ruben,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"Alojamiento entero
(apartamento): será solo para ti.
Limpieza avanzada
Este anfitrión se ha comprometido a seguir el proceso de limpieza avanzada en 5 pasos de Airbnb. Mostrar más
Llegada autónoma
Accede al alojamiento directamente mediante la caja de seguridad para llaves.
Cancelación gratuita antes del 29 may.","60€
 / noche
60€ por noche
4,89
(355 evaluaciones)","¿Qué hay en este alojamiento?
Cocina
Wifi
TV
Ascensor
Lavadora
Aire acondicionado
Secador de pelo
Frigorífico
No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
No disponible: Detector de humo
Detector de humo
Mostrar los 27 servicios"
Alojamiento entero: piso. Anfitrión: Julia,2 huéspedes · Estudio · 1 cama · 1 baño,"Alojamiento entero
(apartamento): será solo para ti.
Llegada autónoma
Accede al alojamiento directamente mediante la caja de seguridad para llaves.
Ubicación fantástica
El 95 % de los últimos huéspedes han valorado con 5 estrellas la ubicación.
Cancelación gratuita durante 48 horas","47€
 / noche
47€ por noche
4,20
(543 evaluaciones)","¿Qué hay en este alojamiento?
Wifi
TV
Aire acondicionado
Secador de pelo
Frigorífico
No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
No disponible: Detector de humo
Detector de humo
Mostrar los 13 servicios"
Habitación privada en: piso. Anfitrión: Pilar,1 huésped · 1 dormitorio · 1 cama · 1 baño compartido,"Limpieza avanzada
Este anfitrión se ha comprometido a seguir el proceso de limpieza avanzada en 5 pasos de Airbnb. Mostrar más
Ubicación fantástica
El 100 % de los últimos huéspedes han valorado con 5 estrellas la ubicación.
Cancelación gratuita antes del 17 feb.","17€
 / noche
17€ por noche
4,83
(6 evaluaciones)","¿Qué hay en este alojamiento?
Cocina
Wifi
Lavadora
Zona para trabajar
Disponible para estancias largas
No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
No disponible: Detector de humo
Detector de humo
Mostrar los 10 servicios"
